 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      24.200 -3.6191945E-01 -3.4183968E-01 -3.5910385E-01 -3.3918029E-01
      24.400 -3.5859326E-01 -3.3854996E-01 -3.5542442E-01 -3.3555825E-01
      24.600 -3.5488269E-01 -3.3490038E-01 -3.5148007E-01 -3.3168936E-01
      24.800 -3.5073293E-01 -3.3083975E-01 -3.4729728E-01 -3.2759897E-01
      25.000 -3.4613147E-01 -3.2635686E-01 -3.4289884E-01 -3.2330891E-01
      25.200 -3.4111320E-01 -3.2148517E-01 -3.3830554E-01 -3.1883906E-01
      25.400 -3.3575551E-01 -3.1629813E-01 -3.3353757E-01 -3.1420873E-01
      25.600 -3.3016570E-01 -3.1089724E-01 -3.2861602E-01 -3.0943800E-01
      25.800 -3.2446291E-01 -3.0539494E-01 -3.2356335E-01 -3.0454825E-01
      26.000 -3.1875912E-01 -2.9989674E-01 -3.1840375E-01 -2.9956241E-01
      26.200 -3.1314236E-01 -2.9448546E-01 -3.1316236E-01 -2.9450426E-01
      26.400 -3.0766570E-01 -2.8921086E-01 -3.0786425E-01 -2.8939751E-01
      26.600 -3.0234347E-01 -2.8408629E-01 -3.0253314E-01 -2.8426450E-01
      26.800 -2.9715479E-01 -2.7909194E-01 -2.9718955E-01 -2.7912459E-01
      27.000 -2.9205356E-01 -2.7418439E-01 -2.9184971E-01 -2.7399301E-01
      27.200 -2.8698183E-01 -2.6930916E-01 -2.8652427E-01 -2.6887977E-01
      27.400 -2.8188405E-01 -2.6441410E-01 -2.8121782E-01 -2.6378917E-01
      27.600 -2.7671906E-01 -2.5946067E-01 -2.7592902E-01 -2.5871990E-01
      27.800 -2.7146734E-01 -2.5443064E-01 -2.7065087E-01 -2.5366541E-01
      28.000 -2.6613271E-01 -2.4932769E-01 -2.6537195E-01 -2.4861497E-01
      28.200 -2.6073799E-01 -2.4417327E-01 -2.6007739E-01 -2.4355465E-01
      28.400 -2.5531647E-01 -2.3899862E-01 -2.5475031E-01 -2.3846864E-01
      28.600 -2.4990102E-01 -2.3383450E-01 -2.4937306E-01 -2.3334048E-01
      28.800 -2.4451307E-01 -2.2870093E-01 -2.4392809E-01 -2.2815378E-01
