 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      30.800 -1.8126147E-01 -1.6889162E-01 -1.8501155E-01 -1.7238579E-01
      31.000 -1.7716072E-01 -1.6501115E-01 -1.7820716E-01 -1.6598583E-01
      31.200 -1.7352960E-01 -1.6157145E-01 -1.7127568E-01 -1.5947286E-01
      31.400 -1.6938942E-01 -1.5766109E-01 -1.6420495E-01 -1.5283560E-01
      31.600 -1.6388439E-01 -1.5248429E-01 -1.5697790E-01 -1.4605824E-01
      31.800 -1.5652747E-01 -1.4558930E-01 -1.4957696E-01 -1.3912450E-01
      32.000 -1.4733380E-01 -1.3699187E-01 -1.4198973E-01 -1.3202292E-01
      32.200 -1.3680446E-01 -1.2715937E-01 -1.3421340E-01 -1.2475098E-01
      32.400 -1.2576991E-01 -1.1686456E-01 -1.2625778E-01 -1.1731788E-01
      32.600 -1.1514193E-01 -1.0695468E-01 -1.1814570E-01 -1.0974488E-01
      32.800 -1.0564860E-01 -9.8105342E-02 -1.0991043E-01 -1.0206288E-01
      33.000 -9.7631772E-02 -9.0632725E-02 -1.0159166E-01 -9.4308735E-02
      33.200 -9.0963311E-02 -8.4416534E-02 -9.3229959E-02 -8.6520049E-02
      33.400 -8.5103232E-02 -7.8954553E-02 -8.4862320E-02 -7.8731046E-02
      33.600 -7.9277595E-02 -7.3528206E-02 -7.6518605E-02 -7.0969304E-02
      33.800 -7.2721455E-02 -6.7428110E-02 -6.8220743E-02 -6.3255002E-02
      34.000 -6.4913038E-02 -6.0171091E-02 -5.9984277E-02 -5.5602380E-02
      34.200 -5.5729722E-02 -5.1644370E-02 -5.1821380E-02 -4.8022535E-02
      34.400 -4.5482340E-02 -4.2136817E-02 -4.3745372E-02 -4.0527615E-02
      34.600 -3.4819530E-02 -3.2249826E-02 -3.5774397E-02 -3.3134222E-02
      34.800 -2.4534636E-02 -2.2718118E-02 -2.7934272E-02 -2.5866050E-02
      35.000 -1.5334540E-02 -1.4195627E-02 -2.0259510E-02 -1.8754813E-02
      35.200 -7.6396892E-03 -7.0705528E-03 -1.2792051E-02 -1.1839078E-02
      35.400 -1.4753069E-03 -1.3650758E-03 -5.5791157E-03 -5.1622589E-03
      35.600  3.5169164E-03  3.2533894E-03  1.3302011E-03  1.2305275E-03
      35.800  7.9517339E-03  7.3542496E-03  7.8877676E-03  7.2950897E-03
      36.000  1.2498639E-02  1.1556989E-02  1.4048386E-02  1.2989978E-02
      36.200  1.7667410E-02  1.6332900E-02  1.9770829E-02  1.8277437E-02
      36.400  2.3644815E-02  2.1854343E-02  2.5017222E-02  2.3122826E-02
      36.600  3.0231100E-02  2.7936387E-02  2.9752143E-02  2.7493785E-02
      36.800  3.6893087E-02  3.4086215E-02  3.3941327E-02  3.1359029E-02
      37.000  4.2916424E-02  3.9644039E-02  3.7550954E-02  3.4687687E-02
      37.200  4.7610513E-02  4.3972473E-02  4.0548079E-02  3.7449698E-02
      37.400  5.0503745E-02  4.6636765E-02  4.2901774E-02  3.9616863E-02
      37.600  5.1472154E-02  4.7523356E-02  4.4585230E-02  4.1164778E-02
      37.800  5.0763920E-02  4.6862235E-02  4.5577805E-02  4.2074722E-02
      38.000  4.8914804E-02  4.5148616E-02  4.5866605E-02  4.2335112E-02
      38.200  4.6581287E-02  4.2988775E-02  4.5447046E-02  4.1942010E-02
      38.400  4.4342492E-02  4.0917241E-02  4.4322120E-02  4.0898443E-02
      38.600  4.2529827E-02  3.9239708E-02  4.2500579E-02  3.9212722E-02
      38.800  4.1134378E-02  3.7947766E-02  3.9994536E-02  3.6896225E-02
      39.000  3.9817715E-02  3.6729075E-02  3.6817286E-02  3.3961388E-02
      39.200  3.8020793E-02  3.5067957E-02  3.2981848E-02  3.0420355E-02
      39.400  3.5136959E-02  3.2405026E-02  2.8501114E-02  2.6285125E-02
      39.600  3.0696429E-02  2.8307286E-02  2.3389271E-02  2.1568854E-02
      39.800  2.4507815E-02  2.2598543E-02  1.7664641E-02  1.6288484E-02
      40.000  1.6716084E-02  1.5412715E-02  1.1353190E-02  1.0467971E-02
      40.200  7.7614964E-03  7.1558644E-03  4.4915025E-03  4.1410291E-03
      40.400 -1.7449989E-03 -1.6087447E-03 -2.8708258E-03 -2.6466640E-03
      40.600 -1.1191947E-02 -1.0317542E-02 -1.0670950E-02 -9.8372498E-03
      40.800 -2.0130299E-02 -1.8556785E-02 -1.8833812E-02 -1.7361641E-02
      41.000 -2.8382215E-02 -2.6162789E-02 -2.7275360E-02 -2.5142487E-02
      41.200 -3.6063898E-02 -3.3242901E-02 -3.5906447E-02 -3.3097766E-02
      41.400 -4.3518581E-02 -4.0113705E-02 -4.4636982E-02 -4.1144602E-02
      41.600 -5.1182639E-02 -4.7177594E-02 -5.3380017E-02 -4.9203027E-02
      41.800 -5.9426108E-02 -5.4775803E-02 -6.2054094E-02 -5.7198140E-02
      42.000 -6.8417632E-02 -6.3063943E-02 -7.0584885E-02 -6.5061608E-02
      42.200 -7.8053474E-02 -7.1946586E-02 -7.8905117E-02 -7.2731597E-02
      42.400 -8.7971309E-02 -8.1089967E-02 -8.6953619E-02 -8.0151884E-02
      42.600 -9.7643795E-02 -9.0008200E-02 -9.4674442E-02 -8.7271046E-02
      42.800 -1.0652138E-01 -9.8194868E-02 -1.0201558E-01 -9.4041272E-02
      43.000 -1.1418195E-01 -1.0526094E-01 -1.0892885E-01 -1.0041827E-01
      43.200 -1.2044116E-01 -1.1103648E-01 -1.1537017E-01 -1.0636146E-01
      43.400 -1.2539151E-01 -1.1560671E-01 -1.2130031E-01 -1.1183477E-01
      43.600 -1.2935987E-01 -1.1927290E-01 -1.2668638E-01 -1.1680788E-01
      43.800 -1.3279679E-01 -1.2245041E-01 -1.3150246E-01 -1.2125693E-01
      44.000 -1.3613270E-01 -1.2553612E-01 -1.3573026E-01 -1.2516501E-01
      44.200 -1.3964398E-01 -1.2878495E-01 -1.3935859E-01 -1.2852176E-01
      44.400 -1.4336901E-01 -1.3223242E-01 -1.4238218E-01 -1.3132225E-01
      44.600 -1.4709849E-01 -1.3568557E-01 -1.4480018E-01 -1.3356558E-01
      44.800 -1.5044106E-01 -1.3878344E-01 -1.4661423E-01 -1.3525315E-01
      45.000 -1.5294360E-01 -1.4110792E-01 -1.4782717E-01 -1.3638744E-01
      45.200 -1.5422869E-01 -1.4231054E-01 -1.4844221E-01 -1.3697122E-01
      45.400 -1.5410771E-01 -1.4221683E-01 -1.4846292E-01 -1.3700759E-01
      45.600 -1.5263611E-01 -1.4087749E-01 -1.4789398E-01 -1.3650067E-01
      45.800 -1.5009515E-01 -1.3855158E-01 -1.4674240E-01 -1.3545669E-01
      46.000 -1.4690681E-01 -1.3562826E-01 -1.4501864E-01 -1.3388505E-01
      46.200 -1.4350879E-01 -1.3251132E-01 -1.4273750E-01 -1.3179914E-01
      46.400 -1.4022765E-01 -1.2950221E-01 -1.3991831E-01 -1.2921653E-01
      46.600 -1.3718820E-01 -1.2671617E-01 -1.3658422E-01 -1.2615830E-01
      46.800 -1.3428588E-01 -1.2405668E-01 -1.3276102E-01 -1.2264798E-01
      47.000 -1.3122899E-01 -1.2125420E-01 -1.2847526E-01 -1.1870978E-01
      47.200 -1.2763690E-01 -1.1795683E-01 -1.2375252E-01 -1.1436705E-01
      47.400 -1.2316349E-01 -1.1384431E-01 -1.1861606E-01 -1.0964096E-01
      47.600 -1.1760790E-01 -1.0873037E-01 -1.1308581E-01 -1.0454963E-01
      47.800 -1.1097946E-01 -1.0262297E-01 -1.0717850E-01 -9.9108220E-02
      48.000 -1.0349739E-01 -9.5724140E-02 -1.0090818E-01 -9.3329398E-02
      48.200 -9.5526877E-02 -8.8371096E-02 -9.4287582E-02 -8.7224635E-02
      48.400 -8.7471069E-02 -8.0936437E-02 -8.7329386E-02 -8.0805339E-02
      48.600 -7.9652982E-02 -7.3718937E-02 -8.0047607E-02 -7.4084163E-02
      48.800 -7.2223174E-02 -6.6857989E-02 -7.2458687E-02 -6.7076006E-02
      49.000 -6.5120539E-02 -6.0297143E-02 -6.4581654E-02 -5.9798173E-02
      49.200 -5.8098539E-02 -5.3808171E-02 -5.6438275E-02 -5.2270512E-02
      49.400 -5.0807330E-02 -4.7066932E-02 -4.8052120E-02 -4.4514558E-02
      49.600 -4.2907209E-02 -3.9758358E-02 -3.9447670E-02 -3.6552706E-02
      49.800 -3.4178427E-02 -3.1678239E-02 -3.0649303E-02 -2.8407274E-02
      50.000 -2.4593676E-02 -2.2800548E-02 -2.1679906E-02 -2.0099221E-02
      50.200 -1.4332565E-02 -1.3291092E-02 -1.2560508E-02 -1.1647801E-02
      50.400 -3.7319797E-03 -3.4617278E-03 -3.3090567E-03 -3.0694309E-03
      50.600  6.8099999E-03  6.3185818E-03  6.0591331E-03  5.6218984E-03
      50.800  1.6949272E-02  1.5730564E-02  1.5531020E-02  1.4414290E-02
      51.000  2.6495074E-02  2.4596936E-02  2.5095419E-02  2.3297554E-02
      51.200  3.5462658E-02  3.2931506E-02  3.4741542E-02  3.2261860E-02
      51.400  4.4064969E-02  4.0931718E-02  4.4458081E-02  4.1296878E-02
      51.600  5.2644470E-02  4.8915577E-02  5.4231458E-02  5.0390156E-02
      51.800  6.1566793E-02  5.7222990E-02  6.4044910E-02  5.9526265E-02
      52.000  7.1106843E-02  6.6109920E-02  7.3877391E-02  6.8685772E-02
      52.200  8.1361401E-02  7.5666990E-02  8.3702961E-02  7.7844666E-02
      52.400  9.2214346E-02  8.5786879E-02  9.3491272E-02  8.6974801E-02
      52.600  1.0336328E-01  9.6188794E-02  1.0320796E-01  9.6044254E-02
      52.800  1.1440076E-01  1.0649381E-01  1.1281639E-01  1.0501895E-01
      53.000  1.2492437E-01  1.1632721E-01  1.2227902E-01  1.1386390E-01
      53.200  1.3464468E-01  1.2541901E-01  1.3155959E-01  1.2254530E-01
      53.400  1.4345847E-01  1.3367237E-01  1.4062464E-01  1.3103185E-01
      53.600  1.5146683E-01  1.4118078E-01  1.4944449E-01  1.3929578E-01
      53.800  1.5893421E-01  1.4819011E-01  1.5799408E-01  1.4731354E-01
      54.000  1.6620030E-01  1.5501674E-01  1.6625228E-01  1.5506521E-01
      54.200  1.7357259E-01  1.6194740E-01  1.7420126E-01  1.6253397E-01
      54.400  1.8123041E-01  1.6914964E-01  1.8182504E-01  1.6970463E-01
      54.600  1.8916886E-01  1.7661916E-01  1.8910800E-01  1.7656234E-01
      54.800  1.9719844E-01  1.8417929E-01  1.9603399E-01  1.8309172E-01
      55.000  2.0499878E-01  1.9153083E-01  2.0258552E-01  1.8927612E-01
      55.200  2.1221051E-01  1.9833771E-01  2.0874427E-01  1.9509807E-01
      55.400  2.1853655E-01  2.0432162E-01  2.1449160E-01  2.0053978E-01
      55.600  2.2382387E-01  2.0933858E-01  2.1981019E-01  2.0558466E-01
      55.800  2.2810134E-01  2.1341460E-01  2.2468537E-01  2.1021857E-01
      56.000  2.3156389E-01  2.1673111E-01  2.2910640E-01  2.1443103E-01
      56.200  2.3450895E-01  2.1956578E-01  2.3306738E-01  2.1821606E-01
      56.400  2.3724469E-01  2.2220670E-01  2.3656716E-01  2.2157212E-01
      56.600  2.3999810E-01  2.2486635E-01  2.3960877E-01  2.2450158E-01
      56.800  2.4284979E-01  2.2762030E-01  2.4219807E-01  2.2700945E-01
      57.000  2.4571440E-01  2.3038859E-01  2.4434224E-01  2.2910201E-01
      57.200  2.4837106E-01  2.3296405E-01  2.4604821E-01  2.3078528E-01
      57.400  2.5053360E-01  2.3507794E-01  2.4732144E-01  2.3206393E-01
      57.600  2.5193889E-01  2.3648276E-01  2.4816542E-01  2.3294078E-01
      57.800  2.5242609E-01  2.3702667E-01  2.4858174E-01  2.3341685E-01
