 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
   29.000023 -2.2347487E-01 -2.0893981E-01 -2.3565337E-01 -2.2032620E-01
   29.200023 -2.1900323E-01 -2.0467796E-01 -2.2937605E-01 -2.1437229E-01
   29.400024 -2.1506341E-01 -2.0091698E-01 -2.2301161E-01 -2.0834236E-01
   29.600024 -2.1154758E-01 -1.9755555E-01 -2.1656542E-01 -2.0224150E-01
   29.800025 -2.0833077E-01 -1.9447654E-01 -2.1004187E-01 -1.9607385E-01
   30.000025 -2.0527635E-01 -1.9155214E-01 -2.0344455E-01 -1.8984281E-01
   30.200025 -2.0224168E-01 -1.8864909E-01 -1.9677603E-01 -1.8355078E-01
   30.400026 -1.9908375E-01 -1.8563402E-01 -1.9003803E-01 -1.7719941E-01
   30.600026 -1.9566485E-01 -1.8237868E-01 -1.8323162E-01 -1.7078970E-01
   30.800027 -1.9185760E-01 -1.7876464E-01 -1.7635725E-01 -1.6432208E-01
   31.000027 -1.8754971E-01 -1.7468767E-01 -1.6941515E-01 -1.5779677E-01
   31.200027 -1.8264779E-01 -1.7006129E-01 -1.6240547E-01 -1.5121390E-01
   31.400028 -1.7708047E-01 -1.6481963E-01 -1.5532861E-01 -1.4457384E-01
   31.600028 -1.7080073E-01 -1.5891952E-01 -1.4818568E-01 -1.3787761E-01
   31.800029 -1.6378685E-01 -1.5234139E-01 -1.4097859E-01 -1.3112697E-01
   32.000029 -1.5604297E-01 -1.4508971E-01 -1.3371064E-01 -1.2432497E-01
   32.200029 -1.4759814E-01 -1.3719207E-01 -1.2638660E-01 -1.1747600E-01
   32.400030 -1.3850489E-01 -1.2869781E-01 -1.1901307E-01 -1.1058615E-01
   32.600030 -1.2883694E-01 -1.1967590E-01 -1.1159884E-01 -1.0366353E-01
   32.800031 -1.1868594E-01 -1.1021182E-01 -1.0415481E-01 -9.6718209E-02
   33.000031 -1.0815826E-01 -1.0040459E-01 -9.6694484E-02 -8.9762630E-02
   33.200032 -9.7370643E-02 -9.0362720E-02 -8.9233673E-02 -8.2811382E-02
   33.400032 -8.6446527E-02 -8.0200796E-02 -8.1790870E-02 -7.5881508E-02
   33.600032 -7.5511474E-02 -7.0035212E-02 -7.4386924E-02 -6.8992217E-02
   33.800033 -6.4689270E-02 -5.9980583E-02 -6.7045052E-02 -6.2164889E-02
   34.000033 -5.4098299E-02 -5.0146377E-02 -5.9790779E-02 -5.5423017E-02
   34.200034 -4.3847771E-02 -4.0633444E-02 -5.2651462E-02 -4.8791766E-02
   34.400034 -3.4035275E-02 -3.1531759E-02 -4.5656303E-02 -4.2297984E-02
   34.600034 -2.4744133E-02 -2.2918000E-02 -3.8835780E-02 -3.5969674E-02
   34.800035 -1.6041968E-02 -1.4854239E-02 -3.2221401E-02 -2.9835764E-02
