 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      25.600 -3.2643200E-01 -3.0575688E-01 -3.2667089E-01 -3.0598063E-01
      25.800 -3.2270793E-01 -3.0213332E-01 -3.2247469E-01 -3.0191495E-01
      26.000 -3.1901981E-01 -2.9854702E-01 -3.1823478E-01 -2.9781237E-01
      26.200 -3.1526800E-01 -2.9490475E-01 -3.1395789E-01 -2.9367926E-01
      26.400 -3.1136034E-01 -2.9112044E-01 -3.0964746E-01 -2.8951890E-01
      26.600 -3.0722823E-01 -2.8713019E-01 -3.0530412E-01 -2.8533195E-01
      26.800 -3.0283786E-01 -2.8290271E-01 -3.0092602E-01 -2.8111671E-01
      27.000 -2.9819545E-01 -2.7844413E-01 -2.9650918E-01 -2.7686956E-01
      27.200 -2.9334495E-01 -2.7379580E-01 -2.9204762E-01 -2.7258493E-01
      27.400 -2.8835930E-01 -2.6902602E-01 -2.8753337E-01 -2.6825546E-01
      27.600 -2.8332658E-01 -2.6421708E-01 -2.8295655E-01 -2.6387201E-01
      27.800 -2.7833306E-01 -2.5944946E-01 -2.7830507E-01 -2.5942338E-01
      28.000 -2.7344672E-01 -2.5478645E-01 -2.7356478E-01 -2.5489646E-01
      28.200 -2.6870323E-01 -2.5026113E-01 -2.6871928E-01 -2.5027609E-01
      28.400 -2.6409730E-01 -2.4586842E-01 -2.6375013E-01 -2.4554520E-01
      28.600 -2.5958063E-01 -2.4156316E-01 -2.5863728E-01 -2.4068529E-01
      28.800 -2.5506652E-01 -2.3726462E-01 -2.5335945E-01 -2.3567669E-01
      29.000 -2.5044108E-01 -2.3286686E-01 -2.4789503E-01 -2.3049948E-01
      29.200 -2.4557838E-01 -2.2825296E-01 -2.4222286E-01 -2.2513417E-01
      29.400 -2.4035792E-01 -2.2331121E-01 -2.3632326E-01 -2.1956270E-01
      29.600 -2.3468111E-01 -2.1795041E-01 -2.3017918E-01 -2.1376942E-01
      29.800 -2.2848424E-01 -2.1211188E-01 -2.2377691E-01 -2.0774186E-01
      30.000 -2.2174640E-01 -2.0577675E-01 -2.1710716E-01 -2.0147162E-01
      30.200 -2.1449045E-01 -1.9896675E-01 -2.1016533E-01 -1.9495466E-01
      30.400 -2.0677786E-01 -1.9173938E-01 -2.0295191E-01 -1.8819168E-01
      30.600 -1.9869803E-01 -1.8417789E-01 -1.9547257E-01 -1.8118814E-01
      30.800 -1.9035357E-01 -1.7637768E-01 -1.8773750E-01 -1.7395368E-01
      31.000 -1.8184506E-01 -1.6843208E-01 -1.7976116E-01 -1.6650190E-01
      31.200 -1.7325647E-01 -1.6041892E-01 -1.7156126E-01 -1.5884932E-01
      31.400 -1.6464463E-01 -1.5239077E-01 -1.6315796E-01 -1.5101475E-01
      31.600 -1.5603387E-01 -1.4437006E-01 -1.5457313E-01 -1.4301851E-01
      31.800 -1.4741614E-01 -1.3634924E-01 -1.4582926E-01 -1.3488149E-01
      32.000 -1.3875733E-01 -1.2829665E-01 -1.3694920E-01 -1.2662483E-01
      32.200 -1.3000731E-01 -1.2016590E-01 -1.2795534E-01 -1.1826925E-01
      32.400 -1.2111288E-01 -1.1190777E-01 -1.1886960E-01 -1.0983499E-01
      32.600 -1.1203087E-01 -1.0348241E-01 -1.0971355E-01 -1.0134191E-01
      32.800 -1.0273881E-01 -9.4869080E-02 -1.0050831E-01 -9.2809437E-02
      33.000 -9.3242376E-02 -8.6073088E-02 -9.1275244E-02 -8.4257206E-02
      33.200 -8.3577224E-02 -7.7127358E-02 -8.2036036E-02 -7.5705107E-02
      33.400 -7.3806361E-02 -6.8090007E-02 -7.2813512E-02 -6.7174055E-02
      33.600 -6.4012322E-02 -5.9037083E-02 -6.3631730E-02 -5.8686072E-02
      33.800 -5.4286763E-02 -5.0052949E-02 -5.4516456E-02 -5.0264728E-02
      34.000 -4.4718924E-02 -4.1219642E-02 -4.5495526E-02 -4.1935474E-02
      34.200 -3.5384540E-02 -3.2606662E-02 -3.6598641E-02 -3.3725449E-02
      34.400 -2.6338293E-02 -2.4264041E-02 -2.7857719E-02 -2.5663805E-02
      34.600 -1.7609709E-02 -1.6218596E-02 -1.9306477E-02 -1.7781324E-02
      34.800 -9.2042843E-03 -8.4749965E-03 -1.0980391E-02 -1.0110376E-02
      35.000 -1.1090883E-03 -1.0209559E-03 -2.9165787E-03 -2.6848162E-03
      35.200  6.6985709E-03  6.1647761E-03  4.8467588E-03  4.4605310E-03
      35.400  1.4240025E-02  1.3102169E-02  1.2270313E-02  1.1289848E-02
      35.600  2.1524821E-02  1.9800322E-02  1.9314266E-02  1.7766870E-02
      35.800  2.8541891E-02  2.6249363E-02  2.5938516E-02  2.3855095E-02
      36.000  3.5254307E-02  3.2415639E-02  3.2102983E-02  2.9518059E-02
      36.200  4.1598842E-02  3.8241342E-02  3.7768280E-02  3.4719950E-02
      36.400  4.7489670E-02  4.3647928E-02  4.2895982E-02  3.9425853E-02
      36.600  5.2826569E-02  4.8543672E-02  4.7449395E-02  4.3602451E-02
      36.800  5.7505481E-02  5.2833377E-02  5.1394080E-02  4.7218504E-02
