 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      20.800 -3.4256015E-01 -3.2593687E-01 -3.3164244E-01 -3.1554896E-01
      21.000 -3.5218500E-01 -3.3495366E-01 -3.4199746E-01 -3.2526457E-01
      21.200 -3.6057667E-01 -3.4278979E-01 -3.5067799E-01 -3.3337940E-01
      21.400 -3.6772370E-01 -3.4943586E-01 -3.5785405E-01 -3.4005705E-01
      21.600 -3.7357464E-01 -3.5484452E-01 -3.6367793E-01 -3.4544400E-01
      21.800 -3.7807888E-01 -3.5896929E-01 -3.6828427E-01 -3.4966974E-01
      22.000 -3.8122166E-01 -3.6179786E-01 -3.7179102E-01 -3.5284771E-01
      22.200 -3.8304762E-01 -3.6337424E-01 -3.7430145E-01 -3.5507727E-01
      22.400 -3.8366910E-01 -3.6380663E-01 -3.7590696E-01 -3.5644634E-01
      22.600 -3.8325869E-01 -3.6326013E-01 -3.7668980E-01 -3.5703401E-01
      22.800 -3.8202886E-01 -3.6193736E-01 -3.7672561E-01 -3.5691302E-01
      23.000 -3.8020339E-01 -3.6005129E-01 -3.7608532E-01 -3.5615149E-01
      23.200 -3.7798691E-01 -3.5779641E-01 -3.7483619E-01 -3.5481399E-01
      23.400 -3.7553862E-01 -3.5532387E-01 -3.7304211E-01 -3.5296175E-01
      23.600 -3.7295517E-01 -3.5272543E-01 -3.7076315E-01 -3.5065231E-01
      23.800 -3.7026548E-01 -3.5002864E-01 -3.6805473E-01 -3.4793871E-01
      24.000 -3.6743795E-01 -3.4720381E-01 -3.6496673E-01 -3.4486867E-01
      24.200 -3.6439810E-01 -3.4418081E-01 -3.6154293E-01 -3.4148405E-01
      24.400 -3.6105244E-01 -3.4087169E-01 -3.5782066E-01 -3.3782055E-01
      24.600 -3.5731423E-01 -3.3719501E-01 -3.5383140E-01 -3.3390829E-01
      24.800 -3.5312560E-01 -3.3309671E-01 -3.4960157E-01 -3.2977256E-01
      25.000 -3.4847251E-01 -3.2856415E-01 -3.4515406E-01 -3.2543528E-01
      25.200 -3.4339014E-01 -3.2363109E-01 -3.4050989E-01 -3.2091657E-01
      25.400 -3.3795806E-01 -3.1837305E-01 -3.3568960E-01 -3.1623605E-01
      25.600 -3.3228730E-01 -3.1289503E-01 -3.3071472E-01 -3.1141422E-01
      25.800 -3.2650167E-01 -3.0731389E-01 -3.2560820E-01 -3.0647292E-01
      26.000 -3.2071810E-01 -3.0173981E-01 -3.2039470E-01 -3.0143554E-01
      26.200 -3.1502904E-01 -2.9625973E-01 -3.1509984E-01 -2.9632631E-01
      26.400 -3.0949069E-01 -2.9092639E-01 -3.0974909E-01 -2.9116928E-01
      26.600 -3.0411882E-01 -2.8575444E-01 -3.0436642E-01 -2.8598708E-01
      26.800 -2.9889202E-01 -2.8072357E-01 -2.9897254E-01 -2.8079920E-01
      27.000 -2.9376185E-01 -2.7578816E-01 -2.9358370E-01 -2.7562091E-01
      27.200 -2.8866662E-01 -2.7089019E-01 -2.8821042E-01 -2.7046209E-01
      27.400 -2.8354630E-01 -2.6597333E-01 -2.8285707E-01 -2.6532682E-01
      27.600 -2.7835536E-01 -2.6099492E-01 -2.7752191E-01 -2.6021345E-01
      27.800 -2.7307065E-01 -2.5593333E-01 -2.7219752E-01 -2.5511500E-01
      28.000 -2.6769375E-01 -2.5079016E-01 -2.6687196E-01 -2.5002026E-01
      28.200 -2.6224698E-01 -2.4558640E-01 -2.6152985E-01 -2.4491483E-01
      28.400 -2.5676479E-01 -2.4035438E-01 -2.5615378E-01 -2.3978242E-01
      28.600 -2.5128259E-01 -2.3512724E-01 -2.5072562E-01 -2.3460609E-01
      28.800 -2.4582515E-01 -2.2992816E-01 -2.4522742E-01 -2.2936908E-01
      29.000 -2.4039790E-01 -2.2476215E-01 -2.3964229E-01 -2.2405569E-01
      29.200 -2.3498213E-01 -2.1961167E-01 -2.3395473E-01 -2.1865147E-01
      29.400 -2.2953569E-01 -2.1443730E-01 -2.2815080E-01 -2.1314350E-01
      29.600 -2.2399878E-01 -2.0918321E-01 -2.2221826E-01 -2.0752045E-01
      29.800 -2.1830330E-01 -2.0378588E-01 -2.1614625E-01 -2.0177228E-01
      30.000 -2.1238441E-01 -1.9818497E-01 -2.0992548E-01 -1.9589044E-01
      30.200 -2.0619130E-01 -1.9233326E-01 -2.0354805E-01 -1.8986766E-01
      30.400 -1.9969547E-01 -1.8620441E-01 -1.9700768E-01 -1.8369820E-01
      30.600 -1.9289493E-01 -1.7979685E-01 -1.9030010E-01 -1.7737821E-01
      30.800 -1.8581316E-01 -1.7313268E-01 -1.8342318E-01 -1.7090581E-01
      31.000 -1.7849391E-01 -1.6625291E-01 -1.7637755E-01 -1.6428169E-01
      31.200 -1.7099223E-01 -1.5920893E-01 -1.6916663E-01 -1.5750914E-01
      31.400 -1.6336423E-01 -1.5205308E-01 -1.6179689E-01 -1.5059426E-01
      31.600 -1.5565746E-01 -1.4482965E-01 -1.5427787E-01 -1.4354602E-01
      31.800 -1.4790338E-01 -1.3756786E-01 -1.4662168E-01 -1.3637573E-01
      32.000 -1.4011419E-01 -1.3027903E-01 -1.3884285E-01 -1.2909694E-01
      32.200 -1.3228348E-01 -1.2295713E-01 -1.3095751E-01 -1.2172465E-01
      32.400 -1.2439120E-01 -1.1558347E-01 -1.2298288E-01 -1.1427487E-01
      32.600 -1.1641153E-01 -1.0813401E-01 -1.1493691E-01 -1.0676425E-01
      32.800 -1.0832145E-01 -1.0058735E-01 -1.0683757E-01 -9.9209414E-02
      33.000 -1.0010922E-01 -9.2932566E-02 -9.8702989E-02 -9.1627148E-02
      33.200 -9.1779867E-02 -8.5174322E-02 -9.0551203E-02 -8.4034087E-02
      33.400 -8.3357842E-02 -7.7335267E-02 -8.2400694E-02 -7.6447272E-02
      33.600 -7.4885195E-02 -6.9454352E-02 -7.4270540E-02 -6.8884274E-02
      33.800 -6.6416794E-02 -6.1582361E-02 -6.6181042E-02 -6.1363769E-02
      34.000 -5.8013264E-02 -5.3775351E-02 -5.8154349E-02 -5.3906130E-02
      34.200 -4.9732799E-02 -4.6087060E-02 -5.0214604E-02 -4.6533546E-02
      34.400 -4.1624581E-02 -3.8562822E-02 -4.2388520E-02 -3.9270568E-02
      34.600 -3.3723986E-02 -3.1235134E-02 -3.4705166E-02 -3.2143902E-02
      34.800 -2.6051515E-02 -2.4122690E-02 -2.7195928E-02 -2.5182372E-02
      35.000 -1.8615203E-02 -1.7232631E-02 -1.9894267E-02 -1.8416698E-02
      35.200 -1.1415600E-02 -1.0565168E-02 -1.2834957E-02 -1.1878788E-02
      35.400 -4.4530947E-03 -4.1203711E-03 -6.0537920E-03 -5.6014686E-03
      35.600  2.2650640E-03  2.0953400E-03  4.1326019E-04  3.8229408E-04
      35.800  8.7187082E-03  8.0635943E-03  6.5304794E-03  6.0397865E-03
      36.000  1.4871329E-02  1.3750921E-02  1.2262743E-02  1.1338866E-02
      36.200  2.0670340E-02  1.9109003E-02  1.7576038E-02  1.6248430E-02
      36.400  2.6050285E-02  2.4077662E-02  2.2437409E-02  2.0738367E-02
      36.600  3.0939267E-02  2.8590800E-02  2.6815224E-02  2.4779795E-02
      36.800  3.5266601E-02  3.2583474E-02  3.0679105E-02  2.8345001E-02
      37.000  3.8970526E-02  3.5999016E-02  3.3999916E-02  3.1407416E-02
      37.200  4.2004576E-02  3.8794900E-02  3.6749975E-02  3.3941817E-02
      37.400  4.4340906E-02  4.0945803E-02  3.8903136E-02  3.5924393E-02
      37.600  4.5970488E-02  4.2443762E-02  4.0435235E-02  3.7333158E-02
      37.800  4.6899762E-02  4.3295075E-02  4.1324548E-02  3.8148368E-02
      38.000  4.7144746E-02  4.3514842E-02  4.1552445E-02  3.8353121E-02
      38.200  4.6723824E-02  4.3120318E-02  4.1104178E-02  3.7934079E-02
      38.400  4.5650757E-02  4.2124449E-02  3.9969697E-02  3.6882225E-02
      38.600  4.3929470E-02  4.0531074E-02  3.8144473E-02  3.5193606E-02
      38.800  4.1551820E-02  3.8332870E-02  3.5630251E-02  3.2870034E-02
      39.000  3.8499020E-02  3.5512670E-02  3.2435742E-02  2.9919718E-02
      39.200  3.4746388E-02  3.2047854E-02  2.8576993E-02  2.6357598E-02
      39.400  3.0270978E-02  2.7917379E-02  2.4077756E-02  2.2205687E-02
      39.600  2.5060237E-02  2.3109767E-02  1.8969378E-02  1.7492967E-02
      39.800  1.9120433E-02  1.7630863E-02  1.3290606E-02  1.2255206E-02
      40.000  1.2483094E-02  1.1509776E-02  7.0872197E-03  6.5346223E-03
      40.200  5.2077823E-03  4.8014173E-03  4.1114447E-04  3.7906273E-04
      40.400 -2.6187200E-03 -2.4142433E-03 -6.6801646E-03 -6.1585595E-03
      40.600 -1.0887796E-02 -1.0037154E-02 -1.4124985E-02 -1.3021428E-02
      40.800 -1.9477041E-02 -1.7954590E-02 -2.1858135E-02 -2.0149563E-02
      41.000 -2.8260788E-02 -2.6050857E-02 -2.9812350E-02 -2.7481090E-02
      41.200 -3.7120399E-02 -3.4216760E-02 -3.7919302E-02 -3.4953171E-02
      41.400 -4.5952964E-02 -4.2357622E-02 -4.6110522E-02 -4.2502853E-02
      41.600 -5.4677436E-02 -5.0398923E-02 -5.4318653E-02 -5.0068215E-02
      41.800 -6.3236200E-02 -5.8287742E-02 -6.2477947E-02 -5.7588825E-02
      42.000 -7.1593230E-02 -6.5991050E-02 -7.0525237E-02 -6.5006628E-02
      42.200 -7.9728308E-02 -7.3490381E-02 -7.8400329E-02 -7.2266303E-02
      42.400 -8.7628959E-02 -8.0774397E-02 -8.6046252E-02 -7.9315494E-02
      42.600 -9.5282083E-02 -8.7831171E-02 -9.3409765E-02 -8.6105265E-02
      42.800 -1.0266594E-01 -9.4640799E-02 -1.0044118E-01 -9.2589940E-02
      43.000 -1.0974517E-01 -1.0117080E-01 -1.0709467E-01 -9.8727386E-02
      43.200 -1.1646875E-01 -1.0737426E-01 -1.1332819E-01 -1.0447893E-01
      43.400 -1.2277180E-01 -1.1319143E-01 -1.1910343E-01 -1.0980932E-01
      43.600 -1.2858086E-01 -1.1855464E-01 -1.2438608E-01 -1.1468695E-01
      43.800 -1.3382111E-01 -1.2339492E-01 -1.2914571E-01 -1.1908379E-01
      44.000 -1.3842488E-01 -1.2764988E-01 -1.3335616E-01 -1.2297571E-01
      44.200 -1.4233921E-01 -1.3127060E-01 -1.3699568E-01 -1.2634259E-01
      44.400 -1.4553141E-01 -1.3422685E-01 -1.4004703E-01 -1.2916848E-01
      44.600 -1.4799171E-01 -1.3650949E-01 -1.4249788E-01 -1.3144191E-01
      44.800 -1.4973233E-01 -1.3812963E-01 -1.4434080E-01 -1.3315589E-01
      45.000 -1.5078348E-01 -1.3911497E-01 -1.4557332E-01 -1.3430800E-01
      45.200 -1.5118701E-01 -1.3950391E-01 -1.4619784E-01 -1.3490027E-01
      45.400 -1.5098889E-01 -1.3933866E-01 -1.4622125E-01 -1.3493889E-01
      45.600 -1.5023200E-01 -1.3865858E-01 -1.4565457E-01 -1.3443378E-01
      45.800 -1.4895051E-01 -1.3749498E-01 -1.4451231E-01 -1.3339811E-01
      46.000 -1.4716667E-01 -1.3586816E-01 -1.4281173E-01 -1.3184757E-01
      46.200 -1.4489051E-01 -1.3378716E-01 -1.4057206E-01 -1.2979964E-01
      46.400 -1.4212232E-01 -1.3125196E-01 -1.3781376E-01 -1.2727294E-01
      46.600 -1.3885705E-01 -1.2825764E-01 -1.3455768E-01 -1.2428645E-01
      46.800 -1.3508983E-01 -1.2479939E-01 -1.3082451E-01 -1.2085898E-01
      47.000 -1.3082111E-01 -1.2087732E-01 -1.2663421E-01 -1.1700867E-01
      47.200 -1.2606058E-01 -1.1650007E-01 -1.2200566E-01 -1.1275267E-01
      47.400 -1.2082904E-01 -1.1168650E-01 -1.1695665E-01 -1.0810711E-01
      47.600 -1.1515744E-01 -1.0646489E-01 -1.1150370E-01 -1.0308695E-01
      47.800 -1.0908415E-01 -1.0087037E-01 -1.0566246E-01 -9.7706329E-02
      48.000 -1.0265006E-01 -9.4940452E-02 -9.9447729E-02 -9.1978635E-02
      48.200 -9.5893582E-02 -8.8710332E-02 -9.2874085E-02 -8.5917021E-02
      48.400 -8.8845606E-02 -8.2208287E-02 -8.5956016E-02 -7.9534568E-02
      48.600 -8.1526265E-02 -7.5452663E-02 -7.8708374E-02 -7.2844701E-02
      48.800 -7.3943936E-02 -6.8450922E-02 -7.1146812E-02 -6.5861585E-02
      49.000 -6.6096308E-02 -6.1200638E-02 -6.3287772E-02 -5.8600127E-02
      49.200 -5.7974259E-02 -5.3693069E-02 -5.5148964E-02 -5.1076413E-02
      49.400 -4.9566721E-02 -4.5917655E-02 -4.6749190E-02 -4.3307549E-02
