 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      20.000 -2.6828731E-01 -2.5447449E-01 -2.4693471E-01 -2.3422123E-01
      20.200 -2.8802802E-01 -2.7308039E-01 -2.6738471E-01 -2.5350840E-01
      20.400 -3.0508190E-01 -2.8912318E-01 -2.8531850E-01 -2.7039360E-01
      20.600 -3.1956532E-01 -3.0271637E-01 -3.0093879E-01 -2.8507192E-01
      20.800 -3.3164036E-01 -3.1401658E-01 -3.1443508E-01 -2.9772561E-01
      21.000 -3.4151779E-01 -3.2322628E-01 -3.2598438E-01 -3.0852483E-01
      21.200 -3.4944999E-01 -3.3058697E-01 -3.3575226E-01 -3.1762863E-01
      21.400 -3.5571564E-01 -3.3636463E-01 -3.4389422E-01 -3.2518630E-01
      21.600 -3.6059815E-01 -3.4082926E-01 -3.5055605E-01 -3.3133769E-01
      21.800 -3.6436268E-01 -3.4423315E-01 -3.5587453E-01 -3.3621394E-01
      22.000 -3.6723479E-01 -3.4679075E-01 -3.5997761E-01 -3.3993758E-01
      22.200 -3.6938472E-01 -3.4866392E-01 -3.6298448E-01 -3.4262270E-01
      22.400 -3.7091981E-01 -3.4995489E-01 -3.6500587E-01 -3.4437522E-01
      22.600 -3.7188590E-01 -3.5070773E-01 -3.6614417E-01 -3.4529298E-01
      22.800 -3.7227774E-01 -3.5091826E-01 -3.6649385E-01 -3.4546621E-01
      23.000 -3.7205636E-01 -3.5055053E-01 -3.6614187E-01 -3.4497791E-01
      23.200 -3.7117060E-01 -3.4955720E-01 -3.6516830E-01 -3.4390442E-01
      23.400 -3.6957920E-01 -3.4790034E-01 -3.6364687E-01 -3.4231599E-01
      23.600 -3.6727004E-01 -3.4556949E-01 -3.6164561E-01 -3.4027739E-01
      23.800 -3.6427311E-01 -3.4259383E-01 -3.5922727E-01 -3.3784829E-01
      24.000 -3.6066556E-01 -3.3904680E-01 -3.5644968E-01 -3.3508362E-01
      24.200 -3.5656797E-01 -3.3504253E-01 -3.5336601E-01 -3.3203388E-01
      24.400 -3.5213240E-01 -3.3072452E-01 -3.5002473E-01 -3.2874499E-01
      24.600 -3.4752484E-01 -3.2624905E-01 -3.4646964E-01 -3.2525845E-01
      24.800 -3.4290436E-01 -3.2176563E-01 -3.4273965E-01 -3.2161108E-01
      25.000 -3.3840300E-01 -3.1739819E-01 -3.3886869E-01 -3.1783496E-01
      25.200 -3.3410969E-01 -3.1322994E-01 -3.3488570E-01 -3.1395745E-01
      25.400 -3.3006032E-01 -3.0929430E-01 -3.3081453E-01 -3.1000106E-01
      25.600 -3.2623649E-01 -3.0557376E-01 -3.2667426E-01 -3.0598380E-01
      25.800 -3.2257213E-01 -3.0200618E-01 -3.2247933E-01 -3.0191929E-01
      26.000 -3.1896771E-01 -2.9849826E-01 -3.1824009E-01 -2.9781734E-01
      26.200 -3.1530894E-01 -2.9494304E-01 -3.1396318E-01 -2.9368420E-01
      26.400 -3.1148740E-01 -2.9123924E-01 -3.0965203E-01 -2.8952317E-01
      26.600 -3.0741941E-01 -2.8730886E-01 -3.0530743E-01 -2.8533504E-01
      26.800 -3.0305996E-01 -2.8311019E-01 -3.0092774E-01 -2.8111832E-01
      27.000 -2.9840986E-01 -2.7864434E-01 -2.9650928E-01 -2.7686964E-01
      27.200 -2.9351440E-01 -2.7395396E-01 -2.9204632E-01 -2.7258372E-01
      27.400 -2.8845440E-01 -2.6911474E-01 -2.8753116E-01 -2.6825340E-01
      27.600 -2.8333093E-01 -2.6422113E-01 -2.8295405E-01 -2.6386968E-01
      27.800 -2.7824612E-01 -2.5936842E-01 -2.7830296E-01 -2.5942141E-01
      28.000 -2.7328393E-01 -2.5463478E-01 -2.7356365E-01 -2.5489540E-01
      28.200 -2.6849330E-01 -2.5006562E-01 -2.6871953E-01 -2.5027632E-01
      28.400 -2.6387719E-01 -2.4566349E-01 -2.6375194E-01 -2.4554689E-01
      28.600 -2.5938905E-01 -2.4138488E-01 -2.5864055E-01 -2.4068833E-01
      28.800 -2.5493721E-01 -2.3714433E-01 -2.5336381E-01 -2.3568075E-01
      29.000 -2.5039688E-01 -2.3282577E-01 -2.4789996E-01 -2.3050406E-01
      29.200 -2.4562727E-01 -2.2829840E-01 -2.4222771E-01 -2.2513868E-01
      29.400 -2.4049157E-01 -2.2343538E-01 -2.3632743E-01 -2.1956657E-01
      29.600 -2.3487639E-01 -2.1813176E-01 -2.3018218E-01 -2.1377221E-01
