C8mimBF4		C2OHBF4		C6mimBF4		C4mimBF4		C2mimBF4		C3mimBF4	
X	Y	X	Y	X	Y	X	Y	X	Y	X	Y
1.531930334	0.011339812	7.870917997	0.011673297	5.204856072	0.016492931	9.033774794	0.017693622	9.757014998	0.022034639	9.090499516	0.019287843
1.645379777	0.012896882	8.182903967	0.012495269	5.516842042	0.015472916	9.345760764	0.01814434	9.983913885	0.023263956	9.402485486	0.020062218
1.744648041	0.014467108	8.494889937	0.013393395	5.828828012	0.014657566	9.657746734	0.018804483	10.21081277	0.024493274	9.714471456	0.021065057
1.829735123	0.015919598	8.806875907	0.014353397	6.140813982	0.014032602	9.913007983	0.019485289	10.43771166	0.025676779	10.02645743	0.022177367
1.886459845	0.017319863	9.118861877	0.015365755	6.452799952	0.013607544	10.57952346	0.021588409	10.65042937	0.026856611	10.3384434	0.023218283
1.962092808	0.019335226	9.416666667	0.016520492	6.764785922	0.013182486	10.86314707	0.022744165	10.86314707	0.027965388	10.62206701	0.024297937
2.014090469	0.020997294	9.686109095	0.017629774	7.076771892	0.012976372	11.48428278	0.025636579	11.07586478	0.029023679	10.84896589	0.025262564
2.079323899	0.023186703	9.927189163	0.018787763	7.388757862	0.012808335	11.65729318	0.026794593	11.28858249	0.03014274	11.55802492	0.02831837
2.127539913	0.024805682	10.15408805	0.019977814	7.700743832	0.012997272	11.82746734	0.027936913	11.51548137	0.031293523	11.75656144	0.029446847
2.141721093	0.026313475	10.35870223	0.021106262	8.012729802	0.013267124	11.98346033	0.029089771	11.74238026	0.032535929	11.89837325	0.03030134
2.188991695	0.028374346	10.53697992	0.022279709	8.324715772	0.013579812	12.12527213	0.030303776	11.95509797	0.033716696	12.42307692	0.033806769
2.226808176	0.029564401	10.73146468	0.023408204	8.537433478	0.013951267	12.25290276	0.031460256	12.15363449	0.034897529	12.55070755	0.034783493
2.245716417	0.030538139	10.89150943	0.024590462	9.187741896	0.015083255	12.38053338	0.032627207	12.33798984	0.036067208	13.0895924	0.038644879
2.283532898	0.032307978	11.0616836	0.025767687	9.909462687	0.017138625	12.52234519	0.033767914	13.55757136	0.04303801	13.24558539	0.039850093
2.311895259	0.034094315	11.25009071	0.026951059	10.18245041	0.018244691	12.64997581	0.034979368	13.78447025	0.044247694	13.41575955	0.040931331
2.3544388	0.036663311	11.40203193	0.028047964	10.43771166	0.019413667	12.76342525	0.036292982	13.98300677	0.045326619	13.58593372	0.042056199
2.3544388	0.035747078	11.5722061	0.029395347	10.65042937	0.020528989	12.8768747	0.037398044	14.19572448	0.04645129	13.75610789	0.043259602
2.368619981	0.038305922	11.77231831	0.030650967	10.84896589	0.021679903	12.99032414	0.038642722	14.45098573	0.047613576	13.94046323	0.044350747
2.396982342	0.039804487	11.89128266	0.031651727	11.02481253	0.022654408	13.10377358	0.039799268	14.66370343	0.048281584	14.15318094	0.045633421
2.425344702	0.040995459	12.03309446	0.032809449	11.27440131	0.024265821	13.23140421	0.041010721	15.11750121	0.048740211	14.39426101	0.046723783
2.467888244	0.04281464	12.19617804	0.034104508	11.9245283	0.029758864	13.33067247	0.041874138	15.78401669	0.047450316	14.67788462	0.047529492
2.482069424	0.044311962	12.39116927	0.035348372	12.40251572	0.035422279	13.87806604	0.047206694	15.9967344	0.046285857	15.01350589	0.04744226
2.524612966	0.045824859	12.5152546	0.036387067	12.70440252	0.037928617	14.05391268	0.048441484	16.16690856	0.045124504	15.3444001	0.046859569
2.538794146	0.047277678	12.65605346	0.037617719	13.2327044	0.043034523	14.2524492	0.04957744	16.32290155	0.043980669	15.59966134	0.04575105
2.567156507	0.049128339	12.8406339	0.038784488	13.78163401	0.047353739	14.50771045	0.050652617	16.46471335	0.042786289	15.75565433	0.044943167
2.586064748	0.050868222	12.96803943	0.039919943	13.95937147	0.048337211	14.81969642	0.050684486	16.60652516	0.041644264	16.26617683	0.041499248
2.633335349	0.052380516	13.13416183	0.04119068	14.49352927	0.050015365	15.06077649	0.050112207	16.74833696	0.040476062	16.4292604	0.040145082
2.642789469	0.053873109	13.34768989	0.042648931	14.87642114	0.048873966	15.4862119	0.047544777	16.89014877	0.039182205	18.88260462	0.023870539
2.691823899	0.055715053	13.47451016	0.043762033	15.10332003	0.047733542	15.65638607	0.046418328	17.03196057	0.037924997	19.14495646	0.022852301
2.742138365	0.057293767	13.64265844	0.044970432	15.28767537	0.046542205	15.81237905	0.04525006	17.17377238	0.036709675	19.44276125	0.021809982
2.850780116	0.058563357	13.82701379	0.046116426	15.44366836	0.045356485	15.94000968	0.043930091	17.31558418	0.035410582	19.75474722	0.020847082
