 # k       S(k)       S(k)_form^2       S(k)_Lorch          S(k)_Lorch_form^2
      28.000 -1.0710722E-06 -5.9255632E-04 -1.0740293E-06 -5.9419227E-04
      28.200 -9.7850060E-07 -5.4134233E-04 -1.0442327E-06 -5.7770771E-04
      28.400 -8.9973806E-07 -4.9776801E-04 -1.0143279E-06 -5.6116328E-04
      28.600 -8.4206060E-07 -4.6585872E-04 -9.8427635E-07 -5.4453768E-04
      28.800 -8.0912750E-07 -4.4763893E-04 -9.5403145E-07 -5.2780510E-04
      29.000 -8.0052806E-07 -4.4288140E-04 -9.2354177E-07 -5.1093709E-04
      29.200 -8.1198246E-07 -4.4921840E-04 -8.9275348E-07 -4.9390388E-04
      29.400 -8.3614792E-07 -4.6258761E-04 -8.6161469E-07 -4.7667677E-04
      29.600 -8.6387777E-07 -4.7792878E-04 -8.3007999E-07 -4.5923062E-04
      29.800 -8.8572266E-07 -4.9001417E-04 -7.9811325E-07 -4.4154544E-04
      30.000 -8.9342571E-07 -4.9427578E-04 -7.6569212E-07 -4.2360889E-04
      30.200 -8.8117996E-07 -4.8750099E-04 -7.3280935E-07 -4.0541694E-04
      30.400 -8.4645547E-07 -4.6829013E-04 -6.9947464E-07 -3.8697496E-04
      30.600 -7.9028431E-07 -4.3721419E-04 -6.6571538E-07 -3.6829810E-04
      30.800 -7.1697392E-07 -3.9665620E-04 -6.3157478E-07 -3.4941027E-04
      31.000 -6.3331987E-07 -3.5037572E-04 -5.9711157E-07 -3.3034396E-04
      31.200 -5.4745204E-07 -3.0287049E-04 -5.6239656E-07 -3.1113835E-04
      31.400 -4.6751613E-07 -2.5864703E-04 -5.2751051E-07 -2.9183811E-04
      31.600 -4.0040105E-07 -2.2151651E-04 -4.9254193E-07 -2.7249221E-04
      31.800 -3.5070687E-07 -1.9402387E-04 -4.5758330E-07 -2.5315182E-04
      32.000 -3.2011600E-07 -1.7709988E-04 -4.2273022E-07 -2.3386982E-04
      32.200 -3.0724318E-07 -1.6997817E-04 -3.8807853E-07 -2.1469924E-04
      32.400 -3.0797801E-07 -1.7038470E-04 -3.5372372E-07 -1.9569290E-04
      32.600 -3.1624436E-07 -1.7495795E-04 -3.1976086E-07 -1.7690341E-04
      32.800 -3.2504429E-07 -1.7982639E-04 -2.8628334E-07 -1.5838242E-04
      33.000 -3.2761089E-07 -1.8124633E-04 -2.5338452E-07 -1.4018159E-04
      33.200 -3.1848517E-07 -1.7619765E-04 -2.2115683E-07 -1.2235205E-04
      33.400 -2.9434914E-07 -1.6284471E-04 -1.8969352E-07 -1.0494539E-04
      33.600 -2.5449186E-07 -1.4079421E-04 -1.5908785E-07 -8.8013220E-05
      33.800 -2.0084788E-07 -1.1111639E-04 -1.2943351E-07 -7.1607353E-05
      34.000 -1.3761767E-07 -7.6135132E-05 -1.0082460E-07 -5.5779856E-05
      34.200 -7.0540123E-08 -3.9025376E-05 -7.3353734E-08 -4.0581969E-05
      34.400 -5.9505052E-09 -3.2920371E-06 -4.7111897E-08 -2.6064025E-05
      34.600  5.0228627E-08  2.7788314E-05 -2.2185853E-08 -1.2274025E-05
      34.800  9.3394732E-08  5.1669382E-05  1.3431788E-09  7.4309566E-07
      35.000  1.2093501E-07  6.6905672E-05  2.3400985E-08  1.2946281E-05
      35.200  1.3256211E-07  7.3338206E-05  4.3922769E-08  2.4299682E-05
      35.400  1.3027021E-07  7.2070247E-05  6.2853535E-08  3.4772875E-05
      35.600  1.1793526E-07  6.5246103E-05  8.0149613E-08  4.4341698E-05
      35.800  1.0063180E-07  5.5673194E-05  9.5778551E-08  5.2988198E-05
      36.000  8.3785649E-08  4.6353286E-05  1.0971857E-07  6.0700325E-05
      36.200  7.2299821E-08  3.9998906E-05  1.2195820E-07  6.7471739E-05
      36.400  6.9794606E-08  3.8612929E-05  1.3249447E-07  7.3300787E-05
      36.600  7.8075935E-08  4.3194463E-05  1.4133174E-07  7.8189886E-05
      36.800  9.6910069E-08  5.3614195E-05  1.4847988E-07  8.2144500E-05
      37.000  1.2412828E-07  6.8672302E-05  1.5395272E-07  8.5172275E-05
      37.200  1.5603601E-07  8.6324826E-05  1.5776707E-07  8.7282514E-05
      37.400  1.8804896E-07  1.0403556E-04  1.5994182E-07  8.8485663E-05
      37.600  2.1545159E-07  1.1919570E-04  1.6049793E-07  8.8793326E-05
      37.800  2.3415064E-07  1.2954070E-04  1.5945883E-07  8.8218458E-05
